id,planet_radius,planet_type,discovery_Method,planet_mass,discovery_date,orbital_radius,orbital_period,eccentricity
5293,1.84 x Earth,Gas Giant,Transit,0.14284 Jupiters,2012,0.10379 AU,16.4 days,0.01
5294,0.865 x Jupiter,Neptune-like,Transit,7.6 Earths,2014,0.509 AU,130.2 days,0.01
5295,0.803 x Jupiter,Neptune-like,Transit,4 Earths,2012,0.384 AU,85.3 days,0.01
5296,0.633 x Jupiter,Neptune-like,Transit,2.1 Earths,2012,0.2514 AU,45.2 days,0.04
5297,1.71 x Earth,Super Earth,Transit,8.9 Earths,2012,0.077 AU,7.8 days,0.0
5298,1.56 x Earth,Super Earth,Transit,3.05 Earths,2014,0.116 AU,18.6 days,0.0
5299,1.6 x Earth,Super Earth,Transit,3.19 Earths,2014,0.031 AU,2.6 days,0.0
5300,2.579 x Earth,Super Earth,Transit,9.77 Earths,2012,0.05929 AU,7.2 days,0.0
5301,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,2.067 Jupiters,2014,1.898275 AU,2.7 years,0.0
5302,2.04 x Earth,Super Earth,Transit,7.93 Earths,2014,0.232907 AU,42.9 days,0.0
5303,2.71 x Earth,Super Earth,Transit,14.61 Earths,2012,0.086293 AU,9.7 days,0.0
5304,0.415 x Jupiter,Neptune-like,Transit,3.17 Earths,2012,0.9638 AU,303.2 days,0.04
5305,0.272 x Jupiter,Neptune-like,Transit,2.07 Earths,2012,0.2877 AU,49.5 days,0.02
5306,1.64 x Earth,Super Earth,Transit,3.33 Earths,2014,0.067 AU,6.8 days,0.0
5307,0.808 x Jupiter,Gas Giant,Transit,6 Jupiters,2012,0.1968 AU,33.6 days,0.01
5308,0.96 x Jupiter,Gas Giant,Transit,0.505 Jupiters,2011,0.03 AU,2.5 days,0.11
5309,1.09 x Jupiter,Gas Giant,Transit,1 Jupiter,2011,0.0446 AU,3.2 days,< 0.066
5310,0.57 x Earth,Terrestrial,Transit,0.13 Earths,2011,0.0154 AU,1.9 days,0.02
5311,0.73 x Earth,Terrestrial,Transit,0.315 Earths,2011,0.006 AU,0.5 days,0.0
5312,0.78 x Earth,Terrestrial,Transit,0.399 Earths,2011,0.0116 AU,1.2 days,0.04
5313,1.29 x Jupiter,Gas Giant,Transit,0.56 Jupiters,2011,0.03101 AU,1.9 days,0.0
5314,1.24 x Jupiter,Gas Giant,Transit,20.1 Jupiters,2011,0.164 AU,21.1 days,0.11
5315,0.384 x Jupiter,Gas Giant,Transit,0.384 Jupiters,2012,0.4632 AU,105.6 days,< 0.032
5316,2.03 x Earth,Neptune-like,Transit,2 Earths,2013,0.2109 AU,39.8 days,< 0.1
5317,0.755 x Earth,Super Earth,Transit,1.3 Earths,2013,0.139 AU,21.3 days,< 0.099
5318,0.31 x Earth,Terrestrial,Transit,0.79 Earths,2013,0.1019 AU,13.4 days,< 0.098
